日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/01/06,新竹,AMB_TEMP,20,19,19,19,19,20,20,20,20,21,23,24,23,22,22,21,21,21,21,21,21,21,21,21
2017/01/06,新竹,CH4,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.9,1.9
2017/01/06,新竹,CO,0.55,0.38,0.35,0.31,0.32,0.34,0.4,0.58,0.62,0.62,0.6,0.54,0.4,0.32,0.34,0.41,0.48,0.53,0.54,0.5,0.44,0.44,0.43,0.43
2017/01/06,新竹,NMHC,0.19,0.13,0.11,0.08,0.06,0.11,0.15,0.21,0.25,0.23,0.25,0.23,0.12,0.07,0.13,0.18,0.2,0.17,0.18,0.18,0.17,0.12,0.1,0.17
2017/01/06,新竹,NO,2.4,3.6,2.2,1.6,1.8,1.7,1.8,3.6,9.3,10,8.5,4.4,3.1,2.1,1.3,1.6,1.5,1.2,1,1,0.9,0.8,0.8,0.9
2017/01/06,新竹,NO2,23,27,20,10,6.3,11,22,23,30,28,29,25,15,11,12,15,17,19,20,19,15,12,11,16
2017/01/06,新竹,NOx,26,30,22,12,8.2,12,23,27,39,38,37,29,18,13,13,17,19,21,21,20,16,13,12,17
2017/01/06,新竹,O3,8.8,12,23,38,45,38,22,15,13,15,26,38,41,45,41,36,32,34,34,32,35,36,35,27
2017/01/06,新竹,PM10,94,93,91,77,63,62,70,81,89,95,94,85,75,68,68,69,67,60,56,55,51,45,41,40
2017/01/06,新竹,PM2.5,57,53,56,51,38,35,46,54,57,51,49,50,42,32,35,31,25,25,25,22,18,15,13,15
2017/01/06,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.4,NR
2017/01/06,新竹,RH,87,89,89,91,89,87,86,86,84,80,72,67,73,78,81,82,83,82,83,84,84,85,87,88
2017/01/06,新竹,SO2,2.2,5.6,3.9,2.3,2,2.4,2.9,3,3.5,4.4,5,5,3.1,2.2,2.5,2.3,2.4,2,2.1,2.3,2.8,2.6,1.9,2.7
2017/01/06,新竹,THC,2.2,2.1,2.1,1.9,1.9,2,2.1,2.1,2.2,2.1,2.1,2.1,1.9,1.9,1.9,2,2.1,2,2.1,2,2,2,2,2.1
2017/01/06,新竹,WD_HR,262,289,305,297,30,77,57,58,74,69,66,62,71,74,63,57,56,59,60,60,54,62,59,43
2017/01/06,新竹,WIND_DIREC,269,306,311,77,64,76,56,86,80,78,80,64,67,81,76,48,67,56,67,58,48,65,50,298
2017/01/06,新竹,WIND_SPEED,0.9,1.2,1.4,0.6,0.9,0.8,1.1,1.2,1,1.5,1.3,1.4,2.3,1.8,2.1,2.3,2.8,2.1,2.5,1.8,1.6,1.5,1.4,0.9
2017/01/06,新竹,WS_HR,0.7,0.9,1,0.8,0.3,0.8,0.9,0.9,0.9,1,1.2,1.3,0.9,0.9,1.7,1.9,2.1,2,1.8,1.6,1.2,0.8,0.9,0.5
2017/01/07,新竹,AMB_TEMP,21,21,20,20,20,20,20,20,20,21,21,22,23,22,21,21,20,20,20,20,20,20,20,20
2017/01/07,新竹,CH4,1.9,1.9,2,1.9,2,2,2,2.2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.1,2
2017/01/07,新竹,CO,0.4,0.36,0.34,0.4,0.38,0.4,0.5,0.88,0.56,0.5,0.45,0.45,0.43,0.38,0.36,0.39,0.41,0.46,0.57,0.56,0.55,0.69,0.99,0.96
2017/01/07,新竹,NMHC,0.17,0.1,0.11,0.11,0.13,0.15,0.2,0.35,0.2,0.17,0.14,0.14,0.13,0.09,0.09,0.11,0.11,0.12,0.15,0.14,0.15,0.2,0.36,0.41
2017/01/07,新竹,NO,0.7,0.7,0.9,0.8,0.8,0.8,2.9,16,8.2,2.7,3.1,3.6,3.3,1.9,1.6,1.4,1,0.9,1,1.2,1.7,3.6,15,19
2017/01/07,新竹,NO2,14,9,8.9,13,12,12,19,19,16,16,15,14,13,9.5,11,13,15,16,20,20,23,33,35,28
2017/01/07,新竹,NOx,15,9.8,9.7,14,12,13,22,35,24,19,18,18,17,11,13,14,16,17,21,21,25,37,50,47
2017/01/07,新竹,O3,28,31,27,17,15,12,4.1,1.3,6.7,18,28,33,39,45,41,35,32,30,26,24,18,6.5,0.3,0.1
2017/01/07,新竹,PM10,37,40,43,49,49,49,48,43,49,49,48,48,49,55,61,63,62,63,70,65,66,78,82,80
2017/01/07,新竹,PM2.5,16,13,13,22,27,28,32,29,28,28,27,28,28,28,29,28,26,25,28,33,35,35,40,44
2017/01/07,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/07,新竹,RH,88,89,90,90,89,88,88,87,88,87,84,76,70,74,81,83,84,86,85,84,85,86,85,85
2017/01/07,新竹,SO2,2.8,2.1,2.4,1.8,1.6,1.5,1.4,2,2,2.9,2.7,2.6,2.5,2.1,2.2,2.4,2.4,2.5,2.4,2.1,1.7,1.8,2,2.3
2017/01/07,新竹,THC,2.1,2,2.1,2.1,2.1,2.1,2.2,2.6,2.2,2.1,2,2,2,1.9,1.9,1.9,1.9,2,2,2,2,2.1,2.4,2.4
2017/01/07,新竹,WD_HR,286,286,231,170,192,165,145,303,301,263,296,211,237,278,290,295,293,303,293,175,184,96,147,94
2017/01/07,新竹,WIND_DIREC,278,288,172,166,169,31,5.7,298,311,286,60,241,256,290,281,291,297,291,261,167,191,95,96,106
2017/01/07,新竹,WIND_SPEED,0.6,0.9,1.2,1.5,0.8,0.6,0.6,1.8,1.1,0.7,0.7,1.6,1.9,2.2,1.8,1.6,1.4,0.8,0.8,0.7,1.4,0.8,0.7,0.5
2017/01/07,新竹,WS_HR,0.5,0.6,0.4,1.2,0.5,0.5,0.1,0.5,1,0.6,0.6,0.8,1.3,2,1.6,1.2,1.1,0.7,0.5,0.4,1.4,0.3,0.5,0.6
2017/01/08,新竹,AMB_TEMP,20,20,20,20,20,20,20,20,20,21,22,22,22,23,23,22,21,20,20,20,19,19,19,19
2017/01/08,新竹,CH4,2,2.3,2,2,2.1,2,2.1,1.9,1.9,1.9,1.8,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/08,新竹,CO,0.83,0.78,0.54,0.37,0.35,0.3,0.4,0.48,0.44,0.45,0.39,0.47,0.58,0.53,0.63,0.63,0.62,0.63,0.63,0.63,0.59,0.57,0.6,0.57
2017/01/08,新竹,NMHC,0.46,0.53,0.31,0.35,0.28,0.18,0.19,0.18,0.15,0.14,0.13,0.15,0.17,0.14,0.18,0.19,0.17,0.17,0.16,0.16,0.13,0.11,0.13,0.11
2017/01/08,新竹,NO,20,16,10,2,2.7,1.6,22,3.9,3.9,4,2.8,3.6,5.3,4.3,5.1,5.2,4.4,3.5,2.5,2.2,1.7,1.5,1.4,1.2
2017/01/08,新竹,NO2,22,19,19,16,15,12,16,17,16,15,12,15,13,13,16,17,19,21,20,20,21,18,18,15
2017/01/08,新竹,NOx,42,35,29,18,17,13,38,21,20,19,15,18,18,17,21,22,23,25,22,22,22,20,19,16
2017/01/08,新竹,O3,0.1,0.1,0.5,2.4,1.7,4.9,0.8,7,17,26,30,29,27,35,29,25,18,14,15,18,23,30,31,35
2017/01/08,新竹,PM10,73,59,44,33,31,27,27,57,72,54,49,51,46,42,40,41,39,34,36,35,29,26,31,35
2017/01/08,新竹,PM2.5,37,30,22,18,18,9,8,25,38,34,31,31,22,13,12,15,19,19,17,17,19,19,18,18
2017/01/08,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/08,新竹,RH,84,82,80,78,80,78,80,87,85,79,76,73,70,66,65,68,72,75,75,74,76,76,77,77
2017/01/08,新竹,SO2,2,1.5,1.5,1.3,1.2,1.6,3.5,3.2,4.8,2.6,2.5,2.2,1.8,2.2,2.4,2.8,2.6,2,1.8,2.7,5,5,4.9,3.1
2017/01/08,新竹,THC,2.5,2.8,2.3,2.3,2.4,2.1,2.3,2.1,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2.1,2
2017/01/08,新竹,WD_HR,94,179,86,86,63,40,62,49,52,59,55,60,65,56,63,55,54,66,72,69,68,66,67,70
2017/01/08,新竹,WIND_DIREC,85,119,45,105,92,68,61,54,62,50,46,60,66,51,58,53,52,71,75,64,65,65,72,72
2017/01/08,新竹,WIND_SPEED,0.7,0.5,0.7,0.7,0.5,0.5,1.3,1.6,2.1,2.7,3,2.8,3.3,3.2,2.9,3.9,3.9,3.1,2.4,2.6,3.2,2.8,3.3,2.3
2017/01/08,新竹,WS_HR,0.6,0.2,0.5,0.5,0.4,0.5,0.7,1.3,1.4,1.7,1.5,2.1,2.4,2.2,1.9,2.7,3.2,2.4,2.5,2.2,2.5,2.5,2.2,2.2
2017/01/09,新竹,AMB_TEMP,18,18,18,18,18,18,18,18,18,19,20,20,20,20,19,19,18,18,17,17,17,16,16,16
2017/01/09,新竹,CH4,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2017/01/09,新竹,CO,0.59,0.54,0.49,0.48,0.49,0.46,0.47,0.64,0.65,0.67,0.61,0.63,0.58,0.57,0.59,0.61,0.6,0.69,0.72,0.76,0.72,0.68,0.61,0.57
2017/01/09,新竹,NMHC,0.15,0.13,0.09,0.08,0.08,0.08,0.08,0.14,0.14,0.16,0.15,0.17,0.16,0.13,0.14,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.16,0.14
2017/01/09,新竹,NO,1.3,1.2,1.2,1.3,1.3,1.3,1.4,2.4,4.2,5.7,4.9,4.5,3.9,3.7,3.3,3.1,3.4,3,2.2,2.5,2.6,2,1.6,1.4
2017/01/09,新竹,NO2,15,14,9.6,12,13,9,12,17,17,18,14,15,14,11,11,13,17,24,24,26,26,21,18,15
2017/01/09,新竹,NOx,17,15,11,14,14,10,13,20,21,23,19,20,17,14,14,16,21,27,26,28,29,23,19,16
2017/01/09,新竹,O3,31,37,40,34,33,32,28,21,22,24,32,30,34,36,36,34,31,22,23,22,23,27,33,36
2017/01/09,新竹,PM10,36,36,30,32,38,38,37,37,43,48,53,0,64,62,61,58,52,52,51,56,58,59,56,48
2017/01/09,新竹,PM2.5,15,12,14,17,18,16,12,14,19,22,23,-2,-2,28,28,27,23,27,32,32,33,35,31,27
2017/01/09,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2017/01/09,新竹,RH,78,76,75,74,73,73,72,71,69,66,62,62,61,62,63,65,65,68,69,69,70,70,69,69
2017/01/09,新竹,SO2,1.9,2.2,3.1,5,4.1,3.4,3,2.5,2.4,2.7,3.3,2.5,2.2,2.4,2.3,2.5,3.6,5.1,4.2,3.9,4.1,3.6,3.4,3.4
2017/01/09,新竹,THC,2.1,2.1,2,2,2,2,2,2.1,2,2.1,2,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1
2017/01/09,新竹,WD_HR,70,67,66,65,70,68,69,70,73,74,70,59,62,64,69,67,72,69,72,69,64,60,55,63
2017/01/09,新竹,WIND_DIREC,72,68,62,66,67,66,73,70,72,70,65,62,61,64,76,76,67,67,70,76,68,60,63,69
2017/01/09,新竹,WIND_SPEED,2.3,2.8,2.9,3.1,3.8,4.2,4.3,3,3.5,5,5.5,5,4.6,4.7,4,4.6,3,4.2,3.9,3.3,2.8,2.8,2.9,2.3
2017/01/09,新竹,WS_HR,1.8,2.1,2.4,2.3,2.6,3.2,3,2.5,2.6,2.9,3.9,3.8,3.4,3.6,3.4,3.3,3.6,3.4,3.4,2.9,2.2,2.1,2.5,1.9
